النشاط الاقتصادي,المحافظة,الولاية,عدد_المرات
إدارة وتشغيل محطات تعبئة الوقود,ظفار,المزيونة,5.0
إدارة وتأجير العقارات المملوكة أو المؤجرة (السكنية وغير السكنية),ظفار,المزيونة,5.0
تنظيم أنشطة تقديم الرعاية الصحية والتعليم والخدمات الثقافية وغيرها من الخدمات الاجتماعية، فيما عدا الضمان الاجتماعي,ظفار,المزيونة,1.0
المخازن التجارية العامة,ظفار,المزيونة,1.0
وزساطة العقارات (مكاتب الدلاليل),ظفار,المزيونة,
إدارة المباني الحكومية (المملوكة أو المؤجرة),ظفار,المزيونة,
استبدال العملات (محلات الصرافة),ظفار,المزيونة,
سمسار تأمين,ظفار,المزيونة,
مكاتب الإستشارات الهندسية المعمارية,ظفار,المزيونة,
عيادة بيطرية,ظفار,المزيونة,
أنشطة تصميم الديكور الداخلي,ظفار,المزيونة,
مكتب إداري,ظفار,المزيونة,
أنشطة استوديوهات ومعامل التصوير,ظفار,المزيونة,
مؤسسات ووكالات الدعاية والإعلان,ظفار,المزيونة,
تأجير الرافعات التي يشغلها عامل,ظفار,المزيونة,
تركيب الجبس (أحجار الزينة),ظفار,المزيونة,
مقاولات البناء والتشييد (إنشاءات عامة للمباني السكنية والغير سكنية),ظفار,المزيونة,
خدمات إستصلاح الأراضي للأغراض الزراعية,ظفار,المزيونة,
تفصيل وخياطة وحياكة الملابس الرجالية العربية (محلات تفصيل خياطة الملابس الرجالية),ظفار,المزيونة,
صنع مستحضرات التجميل، ومستحضرات العناية باليدين والأرجل ... إلخ,ظفار,المزيونة,
صنع أنواع الأختام، أشرطة للآلات الكاتبة، أدوات ولوازم الفنانين التشكيليين,ظفار,المزيونة,
حفظ الأسماك والمنتجات السمكية والأحياء المائية الأخرى عن طريق التبريد أو التجميد,ظفار,المزيونة,
صنع الشيكولاته والحلويات المصنوعة من الشيكولاته,ظفار,المزيونة,
صنع المنتجات الحرفية بتقطير الزهور والاعشاب,ظفار,المزيونة,
إصلاح وصيانة عدادات مواقف السيارات وساعات تحديد الوقت واختام طبع الوقت/التاريخ ومحددات وقت العمليات وما شابهها من معدات تسجيل الوقت,ظفار,المزيونة,
الطباعة بإستخدام الآلات الناسخة والحاسب الآلي والآلات المكتبية الأخرى مثل ناسخات الصور أو الناسخات الحرارية,ظفار,المزيونة,
تفصيل وخياطة الملابس النسائية العربية وغير العربية,ظفار,المزيونة,
أنشطة مدن التسلية ومدن الألعاب (الملاهي وألعاب التسلية),ظفار,المزيونة,
شحن وتفريغ السلع (بغض النظر عن أسلوب النقل المستخدم),ظفار,المزيونة,
النقل البري بالشاحنات للبضائع والسوائل والمعدات (مجدول - غير مجدول),ظفار,المزيونة,
مكاتب التخليص الجمركي,ظفار,المزيونة,
المطاعم,ظفار,المزيونة,
الشقق المفروشة (الفندقية),ظفار,المزيونة,
المقاهي التي تقدم مشروبات أساسا,ظفار,المزيونة,
مقهى متنقل,ظفار,المزيونة,
تصفيف الشعر وأنواع التجميل للنساء,ظفار,المزيونة,
شراء وبيع الأراضي والعقارات وتقسيمها,ظفار,ثمريت,7.0
إدارة المشاريع السياحية,ظفار,ثمريت,4.0
إدارة المشاريع الصناعية,ظفار,ثمريت,2.0
وزساطة العقارات (مكاتب الدلاليل),ظفار,ثمريت,2.0
تثمين الممتلكات,ظفار,ثمريت,2.0
أنشطة النظام العام والسلامة,ظفار,ثمريت,1.0
إدارة وتشغيل محطات تعبئة غاز البترول المسال (غاز الطبخ),ظفار,ثمريت,1.0
إدارة الصالات,ظفار,ثمريت,1.0
أنشطة دعم الخدمات للحكومة ككل، بإستثناء تشغيل المحفوظات الحكومية والمباني الحكومية,ظفار,ثمريت,1.0
إدارة وتشغيل محطات تعبئة الوقود,ظفار,ثمريت,1.0
المخازن التجارية العامة,ظفار,ثمريت,1.0
إدارة المباني الحكومية (المملوكة أو المؤجرة),ظفار,ثمريت,1.0
إدارة وتأجير العقارات المملوكة أو المؤجرة (السكنية وغير السكنية),ظفار,ثمريت,
استبدال العملات (محلات الصرافة),ظفار,ثمريت,
أنشطة استوديوهات ومعامل التصوير,ظفار,ثمريت,
